,cons_12m,cons_gas_12m,date_activ,date_end,date_modif_prod,date_renewal,forecast_cons_12m,forecast_cons_year,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_pow_p1,margin_gross_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,origin_up_lxidpiddsbxsbosboudacockeimpuepw,channel_sales_foosdfpfkusacimwkcsosbicdxkicaua,avg_price_pow_energy,churn
10412,17708,0,2009.08,2016.08,2009.08,2015.08,1120.2,0,16.53,0.144902,44.31137796,15.72,2,103.12,6,13.2,0,0,14.824962808888888,0
10393,621281,0,2011.12,2016.05,2015.05,2013.12,19792.95,16677,137.54,0.1095049999999999,40.606701,-1.5,1,-4148.99,4,24.249,1,1,27.14752227777777,0
2090,7099,1713,2009.06,2016.06,2009.06,2015.06,1057.84,1451,17.15,0.144902,44.31137796,33.12,2,99.88,7,13.2,0,0,14.834897197777776,1
7698,3677,0,2011.12,2016.12,2015.11,2015.12,383.81,707,16.28,0.163618,45.80687796,20.5,1,32.57,4,13.164,1,0,14.856134486666669,0
4008,14297,0,2010.12,2016.05,2015.05,2015.01,1807.23,3109,146.62,0.161936,41.1052014,87.21,2,95.2,5,29.7,0,0,27.499350047777774,1
2631,10890,0,2011.02,2016.02,2015.12,2015.02,1636.15,0,13.36,0.144731,44.31137796,31.2,1,168.52,5,13.856,0,0,14.80547883666666,0
13917,41706,0,2011.11,2016.11,2011.11,2015.11,6159.82,0,0.0,0.145789,44.31137796,6.54,1,579.37,4,14.0,1,1,14.809991564444438,0
13687,30623,0,2012.04,2016.04,2013.11,2015.04,542.08,1167,163.09,0.118646,40.606701,40.38,1,62.21,4,19.8,1,1,27.21948153333333,0
7925,1246592,0,2010.02,2016.12,2015.11,2015.03,7195.18,0,12.28,0.157877,41.1052014,30.88,1,604.67,6,19.0,0,0,15.957837454444448,0
8044,8115,0,2011.09,2016.03,2015.03,2013.09,979.37,0,16.07,0.160011,44.31137796,23.76,1,89.51,4,10.392,0,0,14.881278671515153,0
6754,9351,1499,2011.12,2016.12,2011.12,2015.12,1226.31,0,24.61,0.168243,45.31137756,15.88,2,104.44,4,13.86,1,1,14.841749758888882,0
12790,953085,0,2010.06,2016.06,2010.06,2015.06,-10070.52,0,1.09,0.1457109999999999,44.31137796,19.28,1,174.15,6,13.2,0,0,14.837873035151516,0
3392,4798,0,2009.09,2016.09,2009.09,2015.09,397.33,0,15.84,0.144902,44.31137796,10.03,1,36.44,6,10.35,0,1,14.819995647777777,0
