,cons_12m,cons_gas_12m,date_activ,date_end,date_modif_prod,date_renewal,forecast_cons_12m,forecast_cons_year,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_pow_p1,margin_gross_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,origin_up_lxidpiddsbxsbosboudacockeimpuepw,channel_sales_foosdfpfkusacimwkcsosbicdxkicaua,avg_price_pow_energy,churn
2728,2256171,100121,2010.12,2016.12,2014.04,2015.12,2584.72,0,16.32,0.165022,44.31137796,2.8,5,185.23,5,10.392,0,0,14.900191292222225,0
2124,4323,0,2010.02,2016.02,2010.02,2015.02,653.96,574,17.56,0.146688,44.31137796,33.12,1,61.88,6,13.2,0,0,14.805876953333328,0
19351,292,0,2010.08,2016.08,2010.08,2015.08,43.71,0,16.4,0.1457109999999999,44.31137796,12.36,1,5.97,5,10.392,0,0,14.827056368484849,1
15568,17518,126033,2009.07,2016.07,2015.06,2015.07,290.53,183,132.14,0.114604,40.606701,26.79,2,30.83,7,19.8,0,1,27.188172499999997,1
17039,8257,0,2012.1,2016.1,2015.08,2015.1,316.79,453,17.53,0.14346,46.30537836,21.64,1,26.12,3,10.39,1,1,14.941206370000003,1
13921,7888,0,2009.1,2016.1,2009.1,2015.11,841.29,0,117.99,0.1152369999999999,41.27136420000001,79.88,1,79.15,6,40.0,1,1,27.215121745454542,1
619,40722,41946,2012.09,2016.1,2014.1,2015.1,853.92,865,16.26,0.144902,44.31137796,7.8,4,81.82,3,10.392,0,0,14.819831647777775,0
12493,46741,0,2011.1,2016.1,2015.09,2015.1,4948.21,4948,146.89,0.1153599999999999,40.606701,31.08,1,543.44,4,20.785,0,1,27.25431025,1
9087,3481,0,2012.05,2016.05,2015.04,2015.05,514.13,748,17.34,0.1443279999999999,44.31137796,19.2,1,50.21,4,10.392,1,1,14.839719070000005,0
2190,785,133333,2009.11,2016.11,2009.11,2015.11,117.75,145,0.0,0.146348,46.30537836,25.02,2,11.22,6,12.375,0,1,14.86609224222222,0
13107,10554,0,2012.08,2016.11,2015.11,2015.11,593.96,587,119.31,0.114088,40.9390266,20.55,1,77.08,3,17.320999999999998,1,0,27.178939188888883,1
2029,5184,0,2009.07,2016.07,2015.05,2015.07,762.25,1001,18.5,0.14317,44.31137796,19.41,1,67.79,7,13.8,0,1,14.829494597777778,0
18114,12048,0,2013.01,2017.01,2015.11,2016.01,1784.49,1580,18.57,0.143575,44.31137796,27.0,1,179.3,3,11.951,1,1,14.814855453333331,1
16891,16456,117218,2013.05,2016.05,2013.05,2015.05,569.23,0,16.27,0.144902,44.31137796,25.92,1,55.08,3,10.35,0,0,14.83986439222222,1
17289,72707,51364,2009.12,2016.03,2014.03,2015.03,2069.5,0,129.61,0.15441,41.1052014,66.21,3,653.02,6,20.0,1,0,27.76378934,1
3148,10799,0,2010.1,2016.1,2014.06,2015.1,428.67,0,15.01,0.146348,46.30537836,21.64,1,40.44,5,10.392,0,0,14.976165620000002,0
3960,94425,878760,2012.11,2016.11,2014.11,2015.11,1626.67,1426,144.0,0.1165089999999999,40.606701,4.53,2,209.85,3,23.9,1,1,27.25510408333333,0
